2025-09-04 13:40:24 INFO  [http-nio-8080-exec-3] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: 7cb02912-daca-4618-9bcc-f099432a59fb, UserId: da716029-daf1-4528-8ee8-f8b28f605f10
2025-09-04 13:40:24 INFO  [http-nio-8080-exec-3] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: 7cb02912-daca-4618-9bcc-f099432a59fb, UserId: da716029-daf1-4528-8ee8-f8b28f605f10, CifCode: 9704522166607
2025-09-04 13:40:24 INFO  [http-nio-8080-exec-3] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 3b244d91-e919-4a9f-95b7-a7f5c2ee8139, IP: 127.0.0.1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 8 ms
2025-09-04 13:48:15 INFO  [http-nio-8080-exec-6] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 0dec92cf-9fc6-490d-b790-9c8cc5ba5564, IP: 127.0.0.1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 9 ms
2025-09-04 13:51:54 INFO  [http-nio-8080-exec-8] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 43e0b366-1fc7-4932-b568-9c298d47c56c, IP: 127.0.0.1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 9 ms
2025-09-04 13:51:54 INFO  [http-nio-8080-exec-9] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: c941ea59-3048-4472-988a-57abfc0855fd, UserId: 183c3e38-93a5-486f-a443-191621b09804
2025-09-04 13:51:54 INFO  [http-nio-8080-exec-9] ACCESS_LOG [,] - [getCustomerDetail] CUSTOMER_DETAIL_RETRIEVED - RequestId: c941ea59-3048-4472-988a-57abfc0855fd, UserId: 183c3e38-93a5-486f-a443-191621b09804, CifCode: CIF00000005
2025-09-04 13:51:54 INFO  [http-nio-8080-exec-9] ACCESS_LOG [,] - ACCESS_LOG - RequestId: 15f493de-1ee3-4656-9155-8108d3787c1c, IP: 127.0.0.1, Method: GET, URL: /api/customers/detail, Status: 200, Duration: 156 ms
2025-09-04 13:51:55 INFO  [http-nio-8080-exec-10] ACCESS_LOG [,] - ACCESS_LOG - RequestId: e448f84b-523e-4180-9cbe-ed6b4d2eb7ff, IP: 127.0.0.1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 5 ms
2025-09-04 13:52:49 INFO  [http-nio-8080-exec-2] ACCESS_LOG [,] - ACCESS_LOG - RequestId: cc2c14d7-671c-4525-8d01-5033d621a903, IP: 127.0.0.1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 5 ms
2025-09-04 13:53:36 INFO  [http-nio-8080-exec-1] ACCESS_LOG [,] - ACCESS_LOG - RequestId: c86c4058-ec0e-4fe1-9287-f7fcd3b262fe, IP: 127.0.0.1, Method: GET, URL: /api/customers/status, Status: 200, Duration: 6 ms
2025-09-04 13:53:36 INFO  [http-nio-8080-exec-3] ACCESS_LOG [,] - [getCustomerDetail] GET_CUSTOMER_DETAIL_START - RequestId: 806a28f5-8fcb-4e2f-b210-8b2bbc72ccfe, UserId: 183c3e38-93a5-486f-a443-191621b09804
